timestamp, q0, q1, q2, q3
1540674788272, 0.866089, -0.025269, 0.012817, 0.498962
1540674788330, 0.865723, -0.025269, 0.012817, 0.498962
1540674788331, 0.865723, -0.027222, 0.012817, 0.498962
1540674788331, 0.865723, -0.027222, 0.012573, 0.498962
1540674788332, 0.865723, -0.027222, 0.012573, 0.499512
1540674788390, 0.864746, -0.027222, 0.012573, 0.499512
1540674788391, 0.864746, -0.028809, 0.012573, 0.499512
1540674788391, 0.864746, -0.028809, 0.010315, 0.499512
1540674788392, 0.864746, -0.028809, 0.010315, 0.501221
1540674788420, 0.863953, -0.028809, 0.010315, 0.501221
1540674788421, 0.863953, -0.031860, 0.010315, 0.501221
1540674788421, 0.863953, -0.031860, 0.006897, 0.501221
1540674788422, 0.863953, -0.031860, 0.006897, 0.502502
1540674788483, 0.863098, -0.031860, 0.006897, 0.502502
1540674788484, 0.863098, -0.043457, 0.006897, 0.502502
1540674788484, 0.863098, -0.043457, 0.002625, 0.502502
1540674788485, 0.863098, -0.043457, 0.002625, 0.503113
1540674788541, 0.861511, -0.043457, 0.002625, 0.503113
1540674788541, 0.861511, -0.067749, 0.002625, 0.503113
1540674788542, 0.861511, -0.067749, -0.010559, 0.503113
1540674788542, 0.861511, -0.067749, -0.010559, 0.502991
1540674788602, 0.857971, -0.067749, -0.010559, 0.502991
1540674788603, 0.857971, -0.090759, -0.010559, 0.502991
1540674788604, 0.857971, -0.090759, -0.027771, 0.502991
1540674788605, 0.857971, -0.090759, -0.027771, 0.504761
1540674788660, 0.852844, -0.090759, -0.027771, 0.504761
1540674788661, 0.852844, -0.125183, -0.027771, 0.504761
1540674788662, 0.852844, -0.125183, -0.040161, 0.504761
1540674788662, 0.852844, -0.125183, -0.040161, 0.505249
1540674788691, 0.846497, -0.125183, -0.040161, 0.505249
1540674788692, 0.846497, -0.168091, -0.040161, 0.505249
1540674788693, 0.846497, -0.168091, -0.067688, 0.505249
1540674788695, 0.846497, -0.168091, -0.067688, 0.500610
1540674788751, 0.844971, -0.168091, -0.067688, 0.500610
1540674788752, 0.844971, -0.206299, -0.067688, 0.500610
1540674788752, 0.844971, -0.206299, -0.108887, 0.500610
1540674788753, 0.844971, -0.206299, -0.108887, 0.481201
